#BaitName_Condition,#APName,#PreyName,#SpectralCounts
CONTROL,EV18F,Q15208,12
CONTROL,EV18F,P62244,1
CONTROL,EV18F,O75688,9
CONTROL,EV18F,P62826,2
CONTROL,EV18F,A0A0A0MRZ7,15
CONTROL,EV18F,A2NJV5,15
CONTROL,EV18F,A0A075B6S2,15
CONTROL,EV18F,P68032,1
CONTROL,EV18F,P68133,1
CONTROL,EV18F,P60709,5
CONTROL,EV18F,P63261,5
CONTROL,EV18F,P0DMV8,11
CONTROL,EV18F,P0DMV9,11
CONTROL,EV18F,P35908,3
CONTROL,EV18F,P04264,12
CONTROL,EV18F,P84243,2
CONTROL,EV18F,Q16695,2
CONTROL,EV18F,P68431,2
CONTROL,EV18F,Q71DI3,2
CONTROL,EV18F,P05141,2
CONTROL,EV18F,P11142,11
CONTROL,EV18F,Q6P3W7,12
CONTROL,EV18F,Q5VTE0,2
CONTROL,EV18F,P08670,2
CONTROL,EV18F,P22061,1
CONTROL,EV18F,O60814,2
CONTROL,EV18F,Q93079,2
CONTROL,EV18F,P58876,2
CONTROL,EV18F,Q99879,2
CONTROL,EV18F,P57053,2
CONTROL,EV18F,P62807,2
CONTROL,EV18F,Q99880,2
CONTROL,EV18F,Q99877,2
CONTROL,EV18F,Q5QNW6,2
CONTROL,EV18F,P33778,1
CONTROL,EV18F,P23527,1
CONTROL,EV18F,P06899,1
CONTROL,EV18F,Q16778,1
CONTROL,EV18F,P62249,4
CONTROL,EV18F,P38646,9
CONTROL,EV18F,P62851,2
CONTROL,EV18F,O43175,1
CONTROL,EV18F,P62805,9
CONTROL,EV18F,P62701,1
CONTROL,EV18F,P19474,8
CONTROL,EV18F,P13645,7
CONTROL,EV18F,P68371,1
CONTROL,EV18F,P07437,1
CONTROL,EV18F,O14744,1
CONTROL,EV18F,Q9NU22,1
CONTROL,EV18F,P10412,2
CONTROL,EV18F,P62861,1
CONTROL,EV18F,P46783,1
CONTROL,EV18F,P13647,1
CONTROL,EV18F,P35527,2
CONTROL,EV18F,P81605,2
CONTROL,EV18F,P01859,2
CONTROL,EV18F,P18085,1
CONTROL,EV18F,P22626,3
CONTROL,EV18F,P62266,1
CONTROL,EV18F,P11021,4
CONTROL,EV18F,P09651,2
CONTROL,EV18F,P62269,1
CONTROL,EV18F,P61978,3
CONTROL,EV18F,Q9GZS1,1
CONTROL,EV18F,P46060,1
CONTROL,EV18F,P01834,4
CONTROL,EV18F,P62913,1
CONTROL,EV18F,P63173,1
CONTROL,EV18F,P32969,1
CONTROL,EV18F,Q7Z333,1
CONTROL,EV18F,P62277,1
CONTROL,EV18F,P01857,1
CONTROL,EV18F,P23528,1
CONTROL,EV18F,P62081,1
CONTROL,EV18F,P11387,1
CONTROL,EV18F,P61160,1
MTHFR_trunc,MTHFR_trunc18F,P42898,566
MTHFR_trunc,MTHFR_trunc18F,P40429,4
MTHFR_trunc,MTHFR_trunc18F,P54577,5
MTHFR_trunc,MTHFR_trunc18F,Q86VP6,9
MTHFR_trunc,MTHFR_trunc18F,P61011,2
MTHFR_trunc,MTHFR_trunc18F,P07900,25
