Bait	Prey	PreyGene	IP	Spec	SpecSum	NumRep	Prob	iProb	ctrlCounts	AvgP	MaxP	FDR
MTHFR	P54577	YARS	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|4|4	10	3	0.00	0.00|0.00|0.01	0|3|5	0.0025	0.0075	0.9606
MTHFR	P0DMV9	HSPA1B	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	67|56|65	188	3	0.00	0.00|0.00|0.00	71|45|53	0.0000	0.0000	0.9965
MTHFR	P68366	TUBA4A	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	3|1|1	5	3	0.04	0.07|0.00|0.00	1|2|1	0.0258	0.0750	0.9246
MTHFR	P54619	PRKAG1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|0|2	4	3	0.00	0.00|0.00|0.00	2|1|3	0.0008	0.0025	0.9685
MTHFR	Q13112	CHAF1B	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|0	1	3	0.00	0.00|0.00|0.00	3|0|0	0.0000	0.0000	0.9965
MTHFR	O43237	DYNC1LI2	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|0|0	1	3	0.00	0.00|0.00|0.00	0|0|1	0.0000	0.0000	0.9965
MTHFR	Q15942	ZYX	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|0|1	3	3	0.00	0.00|0.00|0.00	2|2|4	0.0000	0.0000	0.9965
MTHFR	P09651	HNRNPA1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	11|36|12	59	3	0.00	0.00|0.00|0.00	46|11|11	0.0000	0.0000	0.9965
MTHFR	Q9Y3U8	RPL36	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|0|2	4	3	0.01	0.02|0.00|0.02	3|0|1	0.0142	0.0250	0.9387
MTHFR	Q96N67	DOCK7	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|2|0	4	3	0.05	0.09|0.01|0.00	0|1|1	0.0358	0.0925	0.9149
MTHFR	O00629	KPNA4	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|0	2	3	0.01	0.00|0.06|0.00	2|0|0	0.0192	0.0575	0.9336
MTHFR	Q9Y4R8	TELO2	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|0|1	2	3	0.00	0.00|0.00|0.00	1|1|2	0.0000	0.0000	0.9965
MTHFR	P40227	CCT6A	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	13|10|17	40	3	0.00	0.00|0.00|0.00	15|11|17	0.0000	0.0000	0.9965
MTHFR	Q9HB71	CACYBP	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	12|9|10	31	3	0.00	0.00|0.00|0.00	12|5|11	0.0000	0.0000	0.9965
MTHFR	Q6PD62	CTR9	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|0	1	3	0.00	0.00|0.00|0.00	5|0|0	0.0000	0.0000	0.9965
MTHFR	P40222	TXLNA	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|0|2	4	3	0.02	0.04|0.00|0.02	1|0|2	0.0200	0.0375	0.9328
MTHFR	O00148	DDX39A	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|0	1	3	0.00	0.00|0.00|0.00	1|0|0	0.0000	0.0000	0.9965
MTHFR	O43290	SART1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|0	2	3	0.00	0.00|0.00|0.00	7|0|0	0.0000	0.0000	0.9965
MTHFR	P63261	ACTG1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	7|22|7	36	3	0.00	0.00|0.00|0.00	32|2|9	0.0000	0.0000	0.9965
MTHFR	P53582	METAP1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|0|3	3	3	0.08	0.00|0.00|0.22	1|1|1	0.0742	0.2225	0.8688
MTHFR	Q14527	HLTF	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|1	2	3	0.00	0.00|0.00|0.00	3|0|0	0.0000	0.0000	0.9965
MTHFR	P00558	PGK1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	4|3|5	12	3	0.00	0.00|0.00|0.00	6|2|5	0.0000	0.0000	0.9965
MTHFR	P35527	KRT9	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|15|0	16	3	0.00	0.00|0.02|0.00	2|6|12	0.0067	0.0200	0.9513
MTHFR	P61970	NUTF2	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|0	1	3	0.00	0.00|0.00|0.00	2|0|0	0.0000	0.0000	0.9965
MTHFR	Q15269	PWP2	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|4|0	4	3	0.00	0.00|0.00|0.00	8|0|0	0.0008	0.0025	0.9685
MTHFR	P62750	RPL23A	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	3|4|5	12	3	0.00	0.00|0.00|0.00	8|1|5	0.0000	0.0000	0.9965
MTHFR	P18031	PTPN1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|2|0	3	3	0.02	0.02|0.07|0.00	0|1|1	0.0283	0.0675	0.9236
MTHFR	P22392	NME2	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	3|2|2	7	3	0.00	0.00|0.00|0.00	3|2|3	0.0008	0.0025	0.9685
MTHFR	Q5VYK3	ECM29	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	6|3|8	17	3	0.00	0.00|0.00|0.00	9|4|7	0.0000	0.0000	0.9965
MTHFR	P04075	ALDOA	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	12|12|13	37	3	0.00	0.00|0.00|0.00	11|9|13	0.0000	0.0000	0.9965
MTHFR	P61978	HNRNPK	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	10|40|13	63	3	0.00	0.00|0.00|0.00	57|10|13	0.0000	0.0000	0.9965
MTHFR	Q92769	HDAC2	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|0	1	3	0.00	0.00|0.00|0.00	4|0|0	0.0000	0.0000	0.9965
MTHFR	P84077	ARF1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	3|1|2	6	3	0.12	0.30|0.00|0.06	1|0|2	0.1208	0.3025	0.8089
MTHFR	Q3ZCM7	TUBB8	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|0|1	1	3	0.00	0.00|0.00|0.00	0|0|0	0.0000	0.0000	0.9965
MTHFR	Q15084	PDIA6	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|1|1	4	3	0.06	0.13|0.02|0.03	2|0|0	0.0600	0.1300	0.8876
MTHFR	Q4G0F5	VPS26B	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|2|3	6	3	0.01	0.00|0.00|0.03	2|2|1	0.0108	0.0325	0.9438
MTHFR	O43318	MAP3K7	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|1|2	4	3	0.00	0.00|0.00|0.01	1|1|2	0.0050	0.0150	0.9550
MTHFR	Q8IUE6	HIST2H2AB	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|3|0	4	3	0.00	0.00|0.00|0.00	6|0|0	0.0000	0.0000	0.9965
MTHFR	P55010	EIF5	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|2|1	4	3	0.04	0.01|0.07|0.02	1|0|1	0.0350	0.0675	0.9158
MTHFR	Q14247	CTTN	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|3|7	12	3	0.00	0.00|0.00|0.00	3|5|8	0.0000	0.0000	0.9965
MTHFR	Q14244	MAP7	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	4|0|3	7	3	0.06	0.20|0.00|0.02	1|1|3	0.0742	0.1975	0.8688
MTHFR	Q9BUF5	TUBB6	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	5|1|4	10	3	0.11	0.27|0.00|0.06	2|0|4	0.1108	0.2675	0.8246
MTHFR	Q14241	ELOA	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|0	2	3	0.00	0.00|0.00|0.00	4|0|0	0.0017	0.0050	0.9641
MTHFR	Q8IWX8	CHERP	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|3|0	3	3	0.00	0.00|0.00|0.00	7|0|0	0.0008	0.0025	0.9685
MTHFR	P52209	PGD	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	5|4|6	15	3	0.00	0.00|0.00|0.00	3|4|6	0.0000	0.0000	0.9965
MTHFR	P24928	POLR2A	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|5|0	5	3	0.00	0.00|0.00|0.00	7|0|0	0.0008	0.0025	0.9685
MTHFR	Q9Y2R4	DDX52	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|0	2	3	0.00	0.00|0.00|0.00	7|0|0	0.0000	0.0000	0.9965
MTHFR	Q00535	CDK5	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|3|1	5	3	0.00	0.00|0.00|0.00	2|2|2	0.0017	0.0050	0.9641
MTHFR	Q3YEC7	RABL6	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|0|1	3	3	0.06	0.16|0.00|0.02	1|0|0	0.0583	0.1575	0.8897
MTHFR	Q04637	EIF4G1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	15|13|16	44	3	0.00	0.00|0.00|0.00	17|14|23	0.0000	0.0000	0.9965
