User Input,Mapped Gene Symbol,Num of Expt. (found/total),Ave SC,Max SC
Q15208,STK38,285 / 716,31.3,419
P62244,RPS15A,401 / 716,5.7,34
O75688,PPM1B,159 / 716,28,171
P62826,RAN,440 / 716,8.8,42
A0A0A0MRZ7,IGKV2D-26,220 / 716,12.9,524
A2NJV5,IGKV2-29,220 / 716,12.9,524
A0A075B6S2,IGKV2D-29,220 / 716,12.9,524
P68032,ACTC1,656 / 716,26.6,411
P68133,ACTA1,656 / 716,26.4,411
P60709,ACTB,667 / 716,49.7,1008
P63261,ACTG1,667 / 716,49.9,1014
P0DMV8,HSPA1A,698 / 716,49.4,319
P0DMV9,HSPA1B,698 / 716,49.4,319
P35908,KRT2,628 / 716,33.3,614
P04264,KRT1,671 / 716,58.6,1141
P84243,H3F3B,384 / 716,5.1,44
Q16695,HIST3H3,383 / 716,5,44
P68431,HIST1H3H,388 / 716,5.3,44
Q71DI3,HIST2H3C,389 / 716,5.4,44
P05141,SLC25A5,525 / 716,11.5,71
P11142,HSPA8,703 / 716,46.9,338
Q6P3W7,SCYL2,95 / 716,11.7,155
Q5VTE0,EEF1A1P5,653 / 716,29.6,232
P08670,VIM,543 / 716,39.2,673
P22061,PCMT1,299 / 716,7.7,48
O60814,HIST1H2BK,515 / 716,17.3,145
Q93079,HIST1H2BH,515 / 716,17.3,145
P58876,HIST1H2BD,515 / 716,17.3,145
Q99879,HIST1H2BM,515 / 716,17.3,145
P57053,H2BFS,515 / 716,17.1,145
P62807,HIST1H2BC,515 / 716,17.3,145
Q99880,HIST1H2BL,515 / 716,17.2,144
Q99877,HIST1H2BN,515 / 716,17.3,145
Q5QNW6,HIST2H2BF,515 / 716,17.3,145
P33778,HIST1H2BB,513 / 716,16.6,139
P23527,HIST1H2BO,513 / 716,16.6,139
P06899,HIST1H2BJ,513 / 716,16.6,139
Q16778,HIST2H2BE,513 / 716,16.6,139
P62249,RPS16,411 / 716,7.2,42
P38646,HSPA9,552 / 716,26.2,161
P62851,RPS25,356 / 716,6.4,38
O43175,PHGDH,394 / 716,6.2,42
P62805,HIST1H4D,489 / 716,15.3,305
P62701,RPS4X,451 / 716,10,60
P19474,TRIM21,248 / 716,22.7,465
P13645,KRT10,616 / 716,47,811
P68371,TUBB4B,678 / 716,40,317
P07437,TUBB,685 / 716,47.2,336
